overlaps,rms,rms_std,fitting_time,fitting_time_std
0.0,0.9324099898609661,0.1259208579369546,0.04967677593231201,0.003950733149407028
0.05,0.9324099898609661,0.1259208579369546,0.050403380393981935,0.0015832884925808964
0.1,0.9324099898609661,0.1259208579369546,0.04898743629455567,0.004373077717642779
0.15000000000000002,0.9324099898609661,0.1259208579369546,0.04830236434936523,0.002887294762230504
0.2,0.9324099898609661,0.1259208579369546,0.04841732978820801,0.00292675106425936
0.25,0.6551595986351822,0.05821020726837782,0.07146618366241456,0.0025420582741997946
0.30000000000000004,0.6551595986351822,0.05821020726837782,0.07295010089874268,0.004306099101321938
0.35000000000000003,0.6551595986351822,0.05821020726837782,0.07337253093719483,0.01192388229886708
0.4,0.5989141216518306,0.04035362029278377,0.08155190944671631,0.002052872628308726
0.45,0.5723109370636155,0.038128038402571396,0.10007469654083252,0.006133593160174824
0.5,0.5723109370636155,0.038128038402571396,0.101906156539917,0.013762521076317032
0.55,0.5190762975239736,0.039268757787676724,0.14166431427001952,0.012480463607014148
0.6000000000000001,0.4541479062393516,0.019754679465834774,0.16940093040466309,0.003971366971822504
0.65,0.47068144878549845,0.03747943596188768,0.22453052997589112,0.008550240604827704
0.7000000000000001,0.4428351921405948,0.015058336729545813,0.27896096706390383,0.02969899611961669
0.75,0.410308132234931,0.011085363877593183,0.3831785202026367,0.023593919930523007
0.8,0.38819084891403455,0.005573078538181925,0.5859997749328614,0.06086010605644576
0.8500000000000001,0.37797823572156275,0.009237737972493467,0.9938626527786255,0.03887826711902113
0.9,0.36505506888512546,0.0033820090689374712,2.301877164840698,0.101501574078544
0.9500000000000001,0.3512078542664695,0.0031446480933138656,8.078606796264648,0.1625511606919441
